"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Manzardo, Kyle",700932,2026,5,3,0.25,0.362,-0.1119999999999999,0.25,0.435,-0.185,0.361,0.435,-0.074
"Correa, Carlos",621043,2026,4,3,0.0,0.093,-0.093,0.0,0.118,-0.118,0.0,0.096,-0.096
"Adames, Willy",642715,2026,4,3,0.0,0.21,-0.21,0.0,0.284,-0.284,0.0,0.211,-0.211
"Triolo, Jared",669707,2026,4,3,0.25,0.159,0.091,0.5,0.258,0.242,0.397,0.176,0.221
"Arias, Gabriel",672356,2026,4,3,0.25,0.203,0.0469999999999999,0.25,0.238,0.012,0.261,0.192,0.069
"Perdomo, Geraldo",672695,2026,4,3,0.5,0.419,0.081,1.25,0.894,0.356,0.964,0.554,0.4099999999999999
"Caballero, José",676609,2026,4,4,0.25,0.374,-0.124,0.25,0.441,-0.191,0.261,0.355,-0.0939999999999999
"De La Cruz, Elly",682829,2026,4,2,0.25,0.288,-0.0379999999999999,0.25,0.32,-0.07,0.261,0.268,-0.007
"Abrams, CJ",682928,2026,4,3,0.25,0.303,-0.0529999999999999,0.25,0.898,-0.648,0.261,0.494,-0.2329999999999999
"Henderson, Gunnar",683002,2026,4,2,0.0,0.092,-0.092,0.0,0.101,-0.101,0.0,0.085,-0.085
"Montgomery, Colson",695657,2026,4,1,0.0,0.004,-0.004,0.0,0.004,-0.004,0.0,0.004,-0.004
"Hernández, Teoscar",606192,2026,4,4,0.25,0.348,-0.0979999999999999,0.25,0.408,-0.1579999999999999,0.261,0.328,-0.067
"Ward, Taylor",621493,2026,4,4,0.0,0.128,-0.128,0.0,0.185,-0.185,0.0,0.132,-0.132
"Laureano, Ramón",657656,2026,4,3,0.25,0.267,-0.017,1.0,0.901,0.0989999999999999,0.704,0.478,0.2259999999999999
"Lowe, Josh",666139,2026,4,2,0.0,0.068,-0.068,0.0,0.151,-0.151,0.0,0.092,-0.092
"Arozarena, Randy",668227,2026,4,3,0.25,0.192,0.0579999999999999,0.5,0.252,0.248,0.397,0.19,0.207
